RPM	Load	Coolant	Ambient	Throttle	Pressure	Fuel
1200	30	74	88	10	90	4.20
1400	35	236	56	15	95	5.25
1600	40	228	77	20	98	6.30
1800	50	11	26	30	102	7.75
2000	60	255	85	40	105	9.20
2200	70	264	10	50	108	10.65
2400	75	279	64	60	110	11.40
2600	80	143	58	70	112	12.50
2800	85	67	64	80	115	13.60
3000	90	33	9	90	118	14.70
1500	33	157	1	12	93	4.80
1700	45	165	95	25	100	7.00
1900	55	298	60	35	103	8.50
2100	65	90	62	45	106	10.00
2300	72	34	0	55	109	11.25
2500	78	296	64	65	111	12.15
2700	83	55	73	75	113	13.30
2900	88	16	58	85	116	14.45
3100	92	157	40	95	119	15.60
3200	94	180	29	98	120	16.05
